"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","causal_itemA","slider_start","similar_itemA","attn_response","attn_correct"
"true","false","[]","[]","[]","preload","0","2.0.0","8","31592E72EFB942D2A689F685106DBD47","","5824a839-7f6f-4f19-93f6-b180e10098cf","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","16494","31592E72EFB942D2A689F685106DBD47","","5824a839-7f6f-4f19-93f6-b180e10098cf","consent","16484","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 5 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 5 minutes, your payment will amount to $0.5.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","",""
"","","","","","instructions","2","2.0.0","35617","31592E72EFB942D2A689F685106DBD47","","5824a839-7f6f-4f19-93f6-b180e10098cf","","19120","","","[{""page_index"":0,""viewing_time"":19119}]","","","","","","",""
"","","","","","html-slider-response","3","2.0.0","53962","31592E72EFB942D2A689F685106DBD47","","5824a839-7f6f-4f19-93f6-b180e10098cf","","18341","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>took a walk</strong> because they <strong>thought about something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","40","","causal","take a walk","think about something","50","","",""
"","","","","","html-slider-response","4","2.0.0","62794","31592E72EFB942D2A689F685106DBD47","","5824a839-7f6f-4f19-93f6-b180e10098cf","","8829","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>remembered something</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","60","","causal","remember something","take a walk","50","","",""
"","","","","","html-slider-response","5","2.0.0","73844","31592E72EFB942D2A689F685106DBD47","","5824a839-7f6f-4f19-93f6-b180e10098cf","","11048","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>sat down</strong> because they <strong>jumped up and down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","65","","similar","sit down","","50","jump up and down","",""
"","","","","","html-slider-response","6","2.0.0","83246","31592E72EFB942D2A689F685106DBD47","","5824a839-7f6f-4f19-93f6-b180e10098cf","","9399","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>got sick</strong> because they <strong>got tired</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","59","","similar","get sick","","50","get tired","",""
"","","","","","html-slider-response","7","2.0.0","102329","31592E72EFB942D2A689F685106DBD47","","5824a839-7f6f-4f19-93f6-b180e10098cf","","19081","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>felt scared</strong> because they <strong>became hungry</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","28","","similar","feel scared","","50","become hungry","",""
"","","","","","html-slider-response","8","2.0.0","127246","31592E72EFB942D2A689F685106DBD47","","5824a839-7f6f-4f19-93f6-b180e10098cf","","24914","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>got sick</strong> because they <strong>saw something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","31","","causal","get sick","see something","50","","",""
"","","","","","html-slider-response","9","2.0.0","136946","31592E72EFB942D2A689F685106DBD47","","5824a839-7f6f-4f19-93f6-b180e10098cf","","9697","<p style=""font-size: 25px;"">Consider the following statement: </p>
             <p style=""font-size: 25px;"">Someone <strong>took a walk</strong>. </p>
             <p style=""font-size: 25px;"">For this question, please move the slider to <strong>""definitely yes""</strong></p>","100","","attention_check_1","","","50","","100","yes"
"","","","","","html-slider-response","10","2.0.0","147111","31592E72EFB942D2A689F685106DBD47","","5824a839-7f6f-4f19-93f6-b180e10098cf","","10161","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>experienced pain</strong> because they <strong>felt scared</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","37","","similar","experience pain","","50","feel scared","",""
"","","","","","html-slider-response","11","2.0.0","154479","31592E72EFB942D2A689F685106DBD47","","5824a839-7f6f-4f19-93f6-b180e10098cf","","7366","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>became hungry</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","74","","causal","become hungry","take a walk","50","","",""
