"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","causal_itemA","slider_start","similar_itemA","attn_response","attn_correct","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","4","FDCAB2F8E0534C5F8CDBD2D6F05AA7F4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","101629","FDCAB2F8E0534C5F8CDBD2D6F05AA7F4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","consent","101623","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 5 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 5 minutes, your payment will amount to $1.25.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","111014","FDCAB2F8E0534C5F8CDBD2D6F05AA7F4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","9382","","","[{""page_index"":0,""viewing_time"":9381}]","","","","","","","","","","","",""
"","","","","","html-slider-response","3","2.1.0","120728","FDCAB2F8E0534C5F8CDBD2D6F05AA7F4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","9709","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>got sick</strong> because they <strong>saw something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","29","","causal","get sick","see something","50","","","","","","","",""
"","","","","","html-slider-response","4","2.1.0","124443","FDCAB2F8E0534C5F8CDBD2D6F05AA7F4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","3712","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>thought about something</strong> because they <strong>remembered something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","39","","similar","think about something","","50","remember something","","","","","","",""
"","","","","","html-slider-response","5","2.1.0","126142","FDCAB2F8E0534C5F8CDBD2D6F05AA7F4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","1694","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>felt scared</strong> because they <strong>saw something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","40","","causal","feel scared","see something","50","","","","","","","",""
"","","","","","html-slider-response","6","2.1.0","127808","FDCAB2F8E0534C5F8CDBD2D6F05AA7F4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","1662","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>got tired</strong> because they <strong>jumped up and down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","43","","causal","get tired","jump up and down","50","","","","","","","",""
"","","","","","html-slider-response","7","2.1.0","129443","FDCAB2F8E0534C5F8CDBD2D6F05AA7F4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","1630","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>took a walk</strong> because they <strong>jumped up and down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","54","","similar","take a walk","","50","jump up and down","","","","","","",""
"","","","","","html-slider-response","8","2.1.0","131174","FDCAB2F8E0534C5F8CDBD2D6F05AA7F4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","1727","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>kicked something</strong> because they <strong>jumped up and down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","41","","similar","kick something","","50","jump up and down","","","","","","",""
"","","","","","html-slider-response","9","2.1.0","135107","FDCAB2F8E0534C5F8CDBD2D6F05AA7F4","","019962ea-f9ac-7016-9d17-26108c8e2fd7","","3928","<p style=""font-size: 25px;"">Consider the following statement: </p>
             <p style=""font-size: 25px;"">Someone <strong>took a walk</strong>. </p>
             <p style=""font-size: 25px;"">For this question, please move the slider to <strong>""Extremely satisfying""</strong></p>","100","","attention_check_1","","","50","","100","yes","","","","",""
