"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","similar_itemA","slider_start","causal_itemA","attn_response","attn_correct"
"true","false","[]","[]","[]","preload","0","2.0.0","6","ED0140E0071A4ACBA4A821244ED622E8","","5824a839-7f6f-4f19-93f6-b180e10098cf","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","213522","ED0140E0071A4ACBA4A821244ED622E8","","5824a839-7f6f-4f19-93f6-b180e10098cf","consent","213514","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 5 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 5 minutes, your payment will amount to $0.5.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","",""
"","","","","","instructions","2","2.0.0","223366","ED0140E0071A4ACBA4A821244ED622E8","","5824a839-7f6f-4f19-93f6-b180e10098cf","","9843","","","[{""page_index"":0,""viewing_time"":9843}]","","","","","","",""
"","","","","","html-slider-response","3","2.0.0","233276","ED0140E0071A4ACBA4A821244ED622E8","","5824a839-7f6f-4f19-93f6-b180e10098cf","","9908","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>jumped up and down</strong> because they <strong>sat down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","23","","similar","jump up and down","sit down","50","","",""
"","","","","","html-slider-response","4","2.0.0","236931","ED0140E0071A4ACBA4A821244ED622E8","","5824a839-7f6f-4f19-93f6-b180e10098cf","","3653","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>remembered something</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","73","","causal","remember something","","50","take a walk","",""
"","","","","","html-slider-response","5","2.0.0","243209","ED0140E0071A4ACBA4A821244ED622E8","","5824a839-7f6f-4f19-93f6-b180e10098cf","","6278","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>saw something</strong> because they <strong>heard something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","98","","similar","see something","hear something","50","","",""
"","","","","","html-slider-response","6","2.0.0","246772","ED0140E0071A4ACBA4A821244ED622E8","","5824a839-7f6f-4f19-93f6-b180e10098cf","","3562","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>became hungry</strong> because they <strong>experienced pain</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","99","","similar","become hungry","experience pain","50","","",""
"","","","","","html-slider-response","7","2.0.0","251507","ED0140E0071A4ACBA4A821244ED622E8","","5824a839-7f6f-4f19-93f6-b180e10098cf","","4734","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>reached for something</strong> because they <strong>kicked something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","76","","similar","reach for something","kick something","50","","",""
"","","","","","html-slider-response","8","2.0.0","260821","ED0140E0071A4ACBA4A821244ED622E8","","5824a839-7f6f-4f19-93f6-b180e10098cf","","9313","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>thought about something</strong> because they <strong>remembered something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","99","","similar","think about something","remember something","50","","",""
"","","","","","html-slider-response","9","2.0.0","269506","ED0140E0071A4ACBA4A821244ED622E8","","5824a839-7f6f-4f19-93f6-b180e10098cf","","8684","<p style=""font-size: 25px;"">Consider the following statement: </p>
             <p style=""font-size: 25px;"">Someone <strong>took a walk</strong>. </p>
             <p style=""font-size: 25px;"">For this question, please move the slider to <strong>""definitely yes""</strong></p>","100","","attention_check_1","","","50","","100","yes"
