"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","correct_response_attn","selected_choice","first_item","first_past_tense","third_item","middle_causal","middle_similar","biological_substrate","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","7","4C996CBA7A25444D9FFBD5938F22D79E","019b17f6-872c-748b-b2c0-12d6229709ad","019b17ef-16f9-7405-b293-c4efd23deca7","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","28326","4C996CBA7A25444D9FFBD5938F22D79E","019b17f6-872c-748b-b2c0-12d6229709ad","019b17ef-16f9-7405-b293-c4efd23deca7","consent","28318","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 6 minutes.</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 6 minutes, your payment will amount to $1.50.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","50215","4C996CBA7A25444D9FFBD5938F22D79E","019b17f6-872c-748b-b2c0-12d6229709ad","019b17ef-16f9-7405-b293-c4efd23deca7","","21889","","","[{""page_index"":0,""viewing_time"":21888}]","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","2.1.0","53645","4C996CBA7A25444D9FFBD5938F22D79E","019b17f6-872c-748b-b2c0-12d6229709ad","019b17ef-16f9-7405-b293-c4efd23deca7","","3429","<p style=""font-size: 25px;"">For this question, please select ""<strong>jump up and down</strong>""</p>
    ","1","","attention_check_causal_chain","jump up and down","jump up and down","","","","","","","","","","",""
"","","","","","html-button-response","4","2.1.0","73535","4C996CBA7A25444D9FFBD5938F22D79E","019b17f6-872c-748b-b2c0-12d6229709ad","019b17ef-16f9-7405-b293-c4efd23deca7","","19889","
      <p style=""font-size: 25px;"">Which second event best completes this causal chain?</p>
      <br>
      <p style=""font-size: 25px;"">Someone <strong>took a walk</strong>,
      which made them ____________ , which made them <strong>reach for something</strong>.</p>
      <br>
      ","1","","causal_chain","","<p style=""font-size: 25px;""><strong>see something</strong></p>","take a walk","took a walk","reach for something","see something","jump up and down","ZBT7A","","","","",""
"","","","","","html-button-response","5","2.1.0","89347","4C996CBA7A25444D9FFBD5938F22D79E","019b17f6-872c-748b-b2c0-12d6229709ad","019b17ef-16f9-7405-b293-c4efd23deca7","","15811","
      <p style=""font-size: 25px;"">Which second event best completes this causal chain?</p>
      <br>
      <p style=""font-size: 25px;"">Someone <strong>got sick</strong>,
      which made them ____________ , which made them <strong>become hungry</strong>.</p>
      <br>
      ","0","","causal_chain","","<p style=""font-size: 25px;""><strong>feel scared</strong></p>","get sick","got sick","become hungry","see something","feel scared","HFE1A","","","","",""
"","","","","","html-button-response","6","2.1.0","97003","4C996CBA7A25444D9FFBD5938F22D79E","019b17f6-872c-748b-b2c0-12d6229709ad","019b17ef-16f9-7405-b293-c4efd23deca7","","7655","
      <p style=""font-size: 25px;"">Which second event best completes this causal chain?</p>
      <br>
      <p style=""font-size: 25px;"">Someone <strong>jumped up and down</strong>,
      which made them ____________ , which made them <strong>sit down</strong>.</p>
      <br>
      ","0","","causal_chain","","<p style=""font-size: 25px;""><strong>get tired</strong></p>","jump up and down","jumped up and down","sit down","get tired","take a walk","BRCA1","","","","",""
"","","","","","html-button-response","7","2.1.0","105873","4C996CBA7A25444D9FFBD5938F22D79E","019b17f6-872c-748b-b2c0-12d6229709ad","019b17ef-16f9-7405-b293-c4efd23deca7","","8869","
      <p style=""font-size: 25px;"">Which second event best completes this causal chain?</p>
      <br>
      <p style=""font-size: 25px;"">Someone <strong>saw something</strong>,
      which made them ____________ , which made them <strong>hear something</strong>.</p>
      <br>
      ","0","","causal_chain","","<p style=""font-size: 25px;""><strong>remember something</strong></p>","see something","saw something","hear something","take a walk","remember something","FTR54","","","","",""
"","","","","","html-button-response","8","2.1.0","113097","4C996CBA7A25444D9FFBD5938F22D79E","019b17f6-872c-748b-b2c0-12d6229709ad","019b17ef-16f9-7405-b293-c4efd23deca7","","7223","
      <p style=""font-size: 25px;"">Which second event best completes this causal chain?</p>
      <br>
      <p style=""font-size: 25px;"">Someone <strong>remembered something</strong>,
      which made them ____________ , which made them <strong>hear something</strong>.</p>
      <br>
      ","1","","causal_chain","","<p style=""font-size: 25px;""><strong>see something</strong></p>","remember something","remembered something","hear something","kick something","see something","CD8R1","","","","",""
"","","","","","html-button-response","9","2.1.0","124785","4C996CBA7A25444D9FFBD5938F22D79E","019b17f6-872c-748b-b2c0-12d6229709ad","019b17ef-16f9-7405-b293-c4efd23deca7","","11687","
      <p style=""font-size: 25px;"">Which second event best completes this causal chain?</p>
      <br>
      <p style=""font-size: 25px;"">Someone <strong>became hungry</strong>,
      which made them ____________ , which made them <strong>feel scared</strong>.</p>
      <br>
      ","1","","causal_chain","","<p style=""font-size: 25px;""><strong>think about something</strong></p>","become hungry","became hungry","feel scared","think about something","get tired","TRE89","","","","",""
