"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","correct_response_attn","selected_choice","itemB","preceding_causal_itemA","preceding_similar_itemA","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","6","C8349FC5DBD94DE49DD0217FD18A6E2A","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","10065","C8349FC5DBD94DE49DD0217FD18A6E2A","","019a08eb-2e9e-73d9-8903-936d45d7eccc","consent","10057","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> This is a study demo; the purpose of the study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. <p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. <p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","49281","C8349FC5DBD94DE49DD0217FD18A6E2A","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","39215","","","[{""page_index"":0,""viewing_time"":39215}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.1.0","61409","C8349FC5DBD94DE49DD0217FD18A6E2A","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","12127","<p style=""font-size: 25px;"">For this question, ignore the previous instructions. <br>Instead, please select ""the ability to <strong>choose what to do</strong>"".</p>","0","","attention_check","choose what to do","choose what to do","","","","","","","",""
"","","","","","html-button-response","4","2.1.0","79857","C8349FC5DBD94DE49DD0217FD18A6E2A","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","18446","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>get sick</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>get tired</strong></p>","get sick","see something","get tired","","","","",""
"","","","","","html-button-response","5","2.1.0","86137","C8349FC5DBD94DE49DD0217FD18A6E2A","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","6279","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>reach for something</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>kick something</strong></p>","reach for something","become hungry","kick something","","","","",""
"","","","","","html-button-response","6","2.1.0","92297","C8349FC5DBD94DE49DD0217FD18A6E2A","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","6158","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>take a walk</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>jump up and down</strong></p>","take a walk","think about something","jump up and down","","","","",""
"","","","","","html-button-response","7","2.1.0","97730","C8349FC5DBD94DE49DD0217FD18A6E2A","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","5431","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>think about something</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>remember something</strong></p>","think about something","get sick","remember something","","","","",""
"","","","","","html-button-response","8","2.1.0","102987","C8349FC5DBD94DE49DD0217FD18A6E2A","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","5256","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>get tired</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>jump up and down</strong></p>","get tired","jump up and down","feel scared","","","","",""
"","","","","","html-button-response","9","2.1.0","108080","C8349FC5DBD94DE49DD0217FD18A6E2A","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","5091","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>choose what to do</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>remember something</strong></p>","choose what to do","experience pain","remember something","","","","",""
"","","","","","html-button-response","10","2.1.0","111712","C8349FC5DBD94DE49DD0217FD18A6E2A","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","3631","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>jump up and down</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>sit down</strong></p>","jump up and down","see something","sit down","","","","",""
"","","","","","html-button-response","11","2.1.0","114945","C8349FC5DBD94DE49DD0217FD18A6E2A","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","3232","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>remember something</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>think about something</strong></p>","remember something","take a walk","think about something","","","","",""
"","","","","","html-button-response","12","2.1.0","118912","C8349FC5DBD94DE49DD0217FD18A6E2A","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","3966","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>sit down</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>jump up and down</strong></p>","sit down","experience pain","jump up and down","","","","",""
"","","","","","html-button-response","13","2.1.0","121776","C8349FC5DBD94DE49DD0217FD18A6E2A","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","2863","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>hear something</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>see something</strong></p>","hear something","take a walk","see something","","","","",""
"","","","","","html-button-response","14","2.1.0","125313","C8349FC5DBD94DE49DD0217FD18A6E2A","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","3536","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>feel scared</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>see something</strong></p>","feel scared","see something","get tired","","","","",""
"","","","","","html-button-response","15","2.1.0","129113","C8349FC5DBD94DE49DD0217FD18A6E2A","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","3798","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>see something</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>hear something</strong></p>","see something","take a walk","hear something","","","","",""
"","","","","","html-button-response","16","2.1.0","133008","C8349FC5DBD94DE49DD0217FD18A6E2A","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","3892","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>kick something</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>sit down</strong></p>","kick something","think about something","sit down","","","","",""
"","","","","","html-button-response","17","2.1.0","136587","C8349FC5DBD94DE49DD0217FD18A6E2A","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","3577","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>become hungry</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","1","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>feel scared</strong></p>","become hungry","take a walk","feel scared","","","","",""
"","","","","","html-button-response","18","2.1.0","139648","C8349FC5DBD94DE49DD0217FD18A6E2A","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","3060","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>experience pain</strong>. <br>The creature has one of the following two abilities, and not the other. <br>Which of these two abilities do you think the creature also has?</p>","0","","preceding","","<p style=""font-size: 25px;"">The ability to <strong>get tired</strong></p>","experience pain","kick something","get tired","","","","",""
"","","","","","instructions","19","2.1.0","164457","C8349FC5DBD94DE49DD0217FD18A6E2A","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","24807","","","[{""page_index"":0,""viewing_time"":24807}]","","","","","","","","","","",""
