"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","preceding_causal_itemA","preceding_similar_itemA","selected_choice","correct_response_attn","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","4","A1B27026E81347418DDE7E773C5F6CCF","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","109163","A1B27026E81347418DDE7E773C5F6CCF","","019a08eb-2e9e-73d9-8903-936d45d7eccc","consent","109162","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> This is a study demo; the purpose of the study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. <p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. <p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","277095","A1B27026E81347418DDE7E773C5F6CCF","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","167939","","","[{""page_index"":0,""viewing_time"":167939}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.1.0","293850","A1B27026E81347418DDE7E773C5F6CCF","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","16755","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>see something</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","1","","following","see something","feel scared","hear something","<p style=""font-size: 25px;"">The ability to <strong>hear something</strong></p>","","","","","",""
"","","","","","html-button-response","4","2.1.0","304731","A1B27026E81347418DDE7E773C5F6CCF","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","10881","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>hear something</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","0","","following","hear something","feel scared","see something","<p style=""font-size: 25px;"">The ability to <strong>see something</strong></p>","","","","","",""
"","","","","","html-button-response","5","2.1.0","356687","A1B27026E81347418DDE7E773C5F6CCF","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","51958","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>jump up and down</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","1","","following","jump up and down","get tired","take a walk","<p style=""font-size: 25px;"">The ability to <strong>take a walk</strong></p>","","","","","",""
"","","","","","html-button-response","6","2.1.0","366034","A1B27026E81347418DDE7E773C5F6CCF","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","9347","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>kick something</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","0","","following","kick something","experience pain","talk a walk","<p style=""font-size: 25px;"">The ability to <strong>talk a walk</strong></p>","","","","","",""
"","","","","","html-button-response","7","2.1.0","372148","A1B27026E81347418DDE7E773C5F6CCF","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","6113","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>take a walk</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","1","","following","take a walk","get tired","jump up and down","<p style=""font-size: 25px;"">The ability to <strong>jump up and down</strong></p>","","","","","",""
"","","","","","html-button-response","8","2.1.0","381568","A1B27026E81347418DDE7E773C5F6CCF","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","9419","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>experience pain</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","0","","following","experience pain","sit down","become hungry","<p style=""font-size: 25px;"">The ability to <strong>become hungry</strong></p>","","","","","",""
"","","","","","html-button-response","9","2.1.0","387937","A1B27026E81347418DDE7E773C5F6CCF","","019a08eb-2e9e-73d9-8903-936d45d7eccc","","6369","<p style=""font-size: 25px;"">Suppose someone told you about a creature that could <strong>remember something</strong>. <br>The creature has one of the following two abilities, and not the other. <br> Which of these two do you think the creature has?</p>","0","","following","remember something","feel scared","hear something","<p style=""font-size: 25px;"">The ability to <strong>hear something</strong></p>","","","","","",""
