"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","correct_response_attn","selected_choice","first_item","first_past_tense","third_item","middle_causal","middle_similar","biological_substrate","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","10","9B26B8D7E978481BA88EB1816CD50BB3","019b17ff-1ee1-7ac0-8271-e7d613e01f98","019b17ef-16f9-7405-b293-c4efd23deca7","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","205341","9B26B8D7E978481BA88EB1816CD50BB3","019b17ff-1ee1-7ac0-8271-e7d613e01f98","019b17ef-16f9-7405-b293-c4efd23deca7","consent","205329","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 6 minutes.</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 6 minutes, your payment will amount to $1.50.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","364848","9B26B8D7E978481BA88EB1816CD50BB3","019b17ff-1ee1-7ac0-8271-e7d613e01f98","019b17ef-16f9-7405-b293-c4efd23deca7","","159505","","","[{""page_index"":0,""viewing_time"":159505}]","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","2.1.0","366485","9B26B8D7E978481BA88EB1816CD50BB3","019b17ff-1ee1-7ac0-8271-e7d613e01f98","019b17ef-16f9-7405-b293-c4efd23deca7","","1635","<p style=""font-size: 25px;"">For this question, please select ""<strong>jump up and down</strong>""</p>
    ","1","","attention_check_causal_chain","jump up and down","jump up and down","","","","","","","","","","",""
"","","","","","html-button-response","4","2.1.0","664162","9B26B8D7E978481BA88EB1816CD50BB3","019b17ff-1ee1-7ac0-8271-e7d613e01f98","019b17ef-16f9-7405-b293-c4efd23deca7","","297676","
      <p style=""font-size: 25px;"">Which second event best completes this causal chain?</p>
      <br>
      <p style=""font-size: 25px;"">Someone <strong>got sick</strong>,
      which made them ____________ , which made them <strong>become hungry</strong>.</p>
      <br>
      ","1","","causal_chain","","<p style=""font-size: 25px;""><strong>feel scared</strong></p>","get sick","got sick","become hungry","see something","feel scared","ZBT7A","","","","",""
"","","","","","html-button-response","5","2.1.0","677653","9B26B8D7E978481BA88EB1816CD50BB3","019b17ff-1ee1-7ac0-8271-e7d613e01f98","019b17ef-16f9-7405-b293-c4efd23deca7","","13489","
      <p style=""font-size: 25px;"">Which second event best completes this causal chain?</p>
      <br>
      <p style=""font-size: 25px;"">Someone <strong>took a walk</strong>,
      which made them ____________ , which made them <strong>reach for something</strong>.</p>
      <br>
      ","0","","causal_chain","","<p style=""font-size: 25px;""><strong>see something</strong></p>","take a walk","took a walk","reach for something","see something","jump up and down","APP12","","","","",""
"","","","","","html-button-response","6","2.1.0","683215","9B26B8D7E978481BA88EB1816CD50BB3","019b17ff-1ee1-7ac0-8271-e7d613e01f98","019b17ef-16f9-7405-b293-c4efd23deca7","","5561","
      <p style=""font-size: 25px;"">Which second event best completes this causal chain?</p>
      <br>
      <p style=""font-size: 25px;"">Someone <strong>remembered something</strong>,
      which made them ____________ , which made them <strong>hear something</strong>.</p>
      <br>
      ","1","","causal_chain","","<p style=""font-size: 25px;""><strong>see something</strong></p>","remember something","remembered something","hear something","kick something","see something","TRE89","","","","",""
"","","","","","html-button-response","7","2.1.0","691235","9B26B8D7E978481BA88EB1816CD50BB3","019b17ff-1ee1-7ac0-8271-e7d613e01f98","019b17ef-16f9-7405-b293-c4efd23deca7","","8018","
      <p style=""font-size: 25px;"">Which second event best completes this causal chain?</p>
      <br>
      <p style=""font-size: 25px;"">Someone <strong>saw something</strong>,
      which made them ____________ , which made them <strong>hear something</strong>.</p>
      <br>
      ","1","","causal_chain","","<p style=""font-size: 25px;""><strong>take a walk</strong></p>","see something","saw something","hear something","take a walk","remember something","BRCA1","","","","",""
"","","","","","html-button-response","8","2.1.0","700071","9B26B8D7E978481BA88EB1816CD50BB3","019b17ff-1ee1-7ac0-8271-e7d613e01f98","019b17ef-16f9-7405-b293-c4efd23deca7","","8834","
      <p style=""font-size: 25px;"">Which second event best completes this causal chain?</p>
      <br>
      <p style=""font-size: 25px;"">Someone <strong>chose what to do</strong>,
      which made them ____________ , which made them <strong>hear something</strong>.</p>
      <br>
      ","0","","causal_chain","","<p style=""font-size: 25px;""><strong>take a walk</strong></p>","choose what to do","chose what to do","hear something","take a walk","see something","FTR54","","","","",""
"","","","","","html-button-response","9","2.1.0","705593","9B26B8D7E978481BA88EB1816CD50BB3","019b17ff-1ee1-7ac0-8271-e7d613e01f98","019b17ef-16f9-7405-b293-c4efd23deca7","","5521","
      <p style=""font-size: 25px;"">Which second event best completes this causal chain?</p>
      <br>
      <p style=""font-size: 25px;"">Someone <strong>became hungry</strong>,
      which made them ____________ , which made them <strong>feel scared</strong>.</p>
      <br>
      ","1","","causal_chain","","<p style=""font-size: 25px;""><strong>think about something</strong></p>","become hungry","became hungry","feel scared","think about something","get tired","VF501","","","","",""
