"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","causal_itemA","slider_start","similar_itemA","attn_response","attn_correct"
"true","false","[]","[]","[]","preload","0","2.0.0","10","A2B15E67B90444D4A5E92E27E6C6C406","","5824a839-7f6f-4f19-93f6-b180e10098cf","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.0.0","8626","A2B15E67B90444D4A5E92E27E6C6C406","","5824a839-7f6f-4f19-93f6-b180e10098cf","consent","8613","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> The purpose of this study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 5 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. </p><p><b>Payment:</b> You will be paid $15.00/hour for participating in this study. Given the estimated duration of 5 minutes, your payment will amount to $0.5.</p><p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. </p><p><b>Publication of results:</b> The results of the research may be presented at scientific meetings or published in scientific journals. Your individual responses may be published. We will never publish your name, the date that you participated, and any other information that could be used to identify you. </p><p><b>Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. </p><p><b>Research rights information:</b> If you have questions about your rights as a research participant or feel that you have not been treated fairly, please call the Homewood Institutional Review Board at Johns Hopkins University at (410) 516-6580. If you have any questions or issues completing the survey, please email Shari Liu at sliu199@jhu.edu. </p> </div><p> Do you consent to participate? </p>","0","","","","","","","",""
"","","","","","instructions","2","2.0.0","15688","A2B15E67B90444D4A5E92E27E6C6C406","","5824a839-7f6f-4f19-93f6-b180e10098cf","","7061","","","[{""page_index"":0,""viewing_time"":7061}]","","","","","","",""
"","","","","","html-slider-response","3","2.0.0","39470","A2B15E67B90444D4A5E92E27E6C6C406","","5824a839-7f6f-4f19-93f6-b180e10098cf","","23780","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>saw something</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","0","","causal","see something","take a walk","50","","",""
"","","","","","html-slider-response","4","2.0.0","47306","A2B15E67B90444D4A5E92E27E6C6C406","","5824a839-7f6f-4f19-93f6-b180e10098cf","","7834","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>got sick</strong> because they <strong>got tired</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","18","","similar","get sick","","50","get tired","",""
"","","","","","html-slider-response","5","2.0.0","56987","A2B15E67B90444D4A5E92E27E6C6C406","","5824a839-7f6f-4f19-93f6-b180e10098cf","","9680","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>got sick</strong> because they <strong>saw something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","17","","causal","get sick","see something","50","","",""
"","","","","","html-slider-response","6","2.0.0","106141","A2B15E67B90444D4A5E92E27E6C6C406","","5824a839-7f6f-4f19-93f6-b180e10098cf","","49153","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>took a walk</strong> because they <strong>jumped up and down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","2","","similar","take a walk","","50","jump up and down","",""
"","","","","","html-slider-response","7","2.0.0","112266","A2B15E67B90444D4A5E92E27E6C6C406","","5824a839-7f6f-4f19-93f6-b180e10098cf","","6123","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>kicked something</strong> because they <strong>thought about something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","25","","causal","kick something","think about something","50","","",""
"","","","","","html-slider-response","8","2.0.0","133027","A2B15E67B90444D4A5E92E27E6C6C406","","5824a839-7f6f-4f19-93f6-b180e10098cf","","20759","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>chose what to do</strong> because they <strong>felt scared</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","1","","causal","choose what to do","feel scared","50","","",""
"","","","","","html-slider-response","9","2.0.0","138831","A2B15E67B90444D4A5E92E27E6C6C406","","5824a839-7f6f-4f19-93f6-b180e10098cf","","5802","<p style=""font-size: 25px;"">Consider the following statement: </p>
             <p style=""font-size: 25px;"">Someone <strong>took a walk</strong>. </p>
             <p style=""font-size: 25px;"">For this question, please move the slider to <strong>""definitely yes""</strong></p>","98","","attention_check_1","","","50","","98","yes"
"","","","","","html-slider-response","10","2.0.0","154582","A2B15E67B90444D4A5E92E27E6C6C406","","5824a839-7f6f-4f19-93f6-b180e10098cf","","15749","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>jumped up and down</strong> because they <strong>thought about something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","67","","causal","jump up and down","think about something","50","","",""
"","","","","","html-slider-response","11","2.0.0","162095","A2B15E67B90444D4A5E92E27E6C6C406","","5824a839-7f6f-4f19-93f6-b180e10098cf","","7512","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>sat down</strong> because they <strong>jumped up and down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","50","","similar","sit down","","50","jump up and down","",""
"","","","","","html-slider-response","12","2.0.0","169786","A2B15E67B90444D4A5E92E27E6C6C406","","5824a839-7f6f-4f19-93f6-b180e10098cf","","7689","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>felt scared</strong> because they <strong>became hungry</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","16","","similar","feel scared","","50","become hungry","",""
"","","","","","html-slider-response","13","2.0.0","181278","A2B15E67B90444D4A5E92E27E6C6C406","","5824a839-7f6f-4f19-93f6-b180e10098cf","","11490","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>jumped up and down</strong> because they <strong>sat down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","5","","similar","jump up and down","","50","sit down","",""
"","","","","","html-slider-response","14","2.0.0","194214","A2B15E67B90444D4A5E92E27E6C6C406","","5824a839-7f6f-4f19-93f6-b180e10098cf","","12935","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>reached for something</strong> because they <strong>became hungry</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","76","","causal","reach for something","become hungry","50","","",""
"","","","","","html-slider-response","15","2.0.0","200117","A2B15E67B90444D4A5E92E27E6C6C406","","5824a839-7f6f-4f19-93f6-b180e10098cf","","5902","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>reached for something</strong> because they <strong>kicked something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","64","","similar","reach for something","","50","kick something","",""
"","","","","","html-slider-response","16","2.0.0","205018","A2B15E67B90444D4A5E92E27E6C6C406","","5824a839-7f6f-4f19-93f6-b180e10098cf","","4899","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>saw something</strong> because they <strong>heard something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","62","","similar","see something","","50","hear something","",""
"","","","","","html-slider-response","17","2.0.0","208702","A2B15E67B90444D4A5E92E27E6C6C406","","5824a839-7f6f-4f19-93f6-b180e10098cf","","3682","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>felt scared</strong> because they <strong>saw something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","67","","causal","feel scared","see something","50","","",""
"","","","","","html-slider-response","18","2.0.0","211713","A2B15E67B90444D4A5E92E27E6C6C406","","5824a839-7f6f-4f19-93f6-b180e10098cf","","3011","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>experienced pain</strong> because they <strong>kicked something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","95","","causal","experience pain","kick something","50","","",""
"","","","","","html-slider-response","19","2.0.0","219883","A2B15E67B90444D4A5E92E27E6C6C406","","5824a839-7f6f-4f19-93f6-b180e10098cf","","8168","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>remembered something</strong> because they <strong>thought about something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","51","","similar","remember something","","50","think about something","",""
"","","","","","html-slider-response","20","2.0.0","223589","A2B15E67B90444D4A5E92E27E6C6C406","","5824a839-7f6f-4f19-93f6-b180e10098cf","","3705","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>took a walk</strong> because they <strong>thought about something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","25","","causal","take a walk","think about something","50","","",""
"","","","","","html-slider-response","21","2.0.0","236938","A2B15E67B90444D4A5E92E27E6C6C406","","5824a839-7f6f-4f19-93f6-b180e10098cf","","13347","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>heard something</strong> because they <strong>saw something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","61","","similar","hear something","","50","see something","",""
"","","","","","html-slider-response","22","2.0.0","416367","A2B15E67B90444D4A5E92E27E6C6C406","","5824a839-7f6f-4f19-93f6-b180e10098cf","","179428","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>remembered something</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","60","","causal","remember something","take a walk","50","","",""
"","","","","","html-slider-response","23","2.0.0","427301","A2B15E67B90444D4A5E92E27E6C6C406","","5824a839-7f6f-4f19-93f6-b180e10098cf","","10932","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>chose what to do</strong> because they <strong>remembered something</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","52","","similar","choose what to do","","50","remember something","",""
"","","","","","html-slider-response","24","2.0.0","435002","A2B15E67B90444D4A5E92E27E6C6C406","","5824a839-7f6f-4f19-93f6-b180e10098cf","","7698","<p style=""font-size: 25px;"">Consider the following statement: </p>
             <p style=""font-size: 25px;"">Someone <strong>chose what to do</strong>. </p>
             <p style=""font-size: 25px;"">For this question, please move the slider to <strong>""definitely no""</strong></p>","0","","attention_check_2","","","50","","0","yes"
"","","","","","html-slider-response","25","2.0.0","565242","A2B15E67B90444D4A5E92E27E6C6C406","","5824a839-7f6f-4f19-93f6-b180e10098cf","","130239","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>became hungry</strong> because they <strong>experienced pain</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","15","","similar","become hungry","","50","experience pain","",""
"","","","","","html-slider-response","26","2.0.0","572327","A2B15E67B90444D4A5E92E27E6C6C406","","5824a839-7f6f-4f19-93f6-b180e10098cf","","7083","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>kicked something</strong> because they <strong>jumped up and down</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","72","","similar","kick something","","50","jump up and down","",""
"","","","","","html-slider-response","27","2.0.0","583703","A2B15E67B90444D4A5E92E27E6C6C406","","5824a839-7f6f-4f19-93f6-b180e10098cf","","11375","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>heard something</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","58","","causal","hear something","take a walk","50","","",""
"","","","","","html-slider-response","28","2.0.0","626588","A2B15E67B90444D4A5E92E27E6C6C406","","5824a839-7f6f-4f19-93f6-b180e10098cf","","42884","<p style=""font-size: 25px;"">Consider the following statement: </p>
               <p style=""font-size: 25px;"">Someone <strong>became hungry</strong> because they <strong>took a walk</strong>.</p>
               <p style=""font-size: 25px;"">To what extent is this a satisfactory explanation?</p>","63","","causal","become hungry","take a walk","50","","",""
