"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","causal_itemA","similar_itemA","selected_choice","correct_response_attn","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","9","98B5E42FE2DB421E87850A708B590B36","","019a7554-4882-75ac-add4-95f1a495302d","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","7287","98B5E42FE2DB421E87850A708B590B36","","019a7554-4882-75ac-add4-95f1a495302d","consent","7275","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> This is a study demo; the purpose of the study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. <p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. <p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","44254","98B5E42FE2DB421E87850A708B590B36","","019a7554-4882-75ac-add4-95f1a495302d","","36966","","","[{""page_index"":0,""viewing_time"":36966}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.1.0","76054","98B5E42FE2DB421E87850A708B590B36","","019a7554-4882-75ac-add4-95f1a495302d","","31799","<p style=""font-size: 25px;"">You are working on a new creature which currently 
              has no capabilities. <br> Using your magical powers, your goal is to give this creature 
              the capacity to <strong>sit down</strong>. <br>However, you ran out of that specific spell.
               <br>Which of these two spells would most likely accomplish your goal? <br>The spell that 
               grants the capacity to... </p>","0","","magical","sit down","experience pain","jump up and down","<p style=""font-size: 25px;""><strong>experience pain</strong></p>","","","","","",""
"","","","","","html-button-response","4","2.1.0","87957","98B5E42FE2DB421E87850A708B590B36","","019a7554-4882-75ac-add4-95f1a495302d","","11902","<p style=""font-size: 25px;"">You are working on a new creature which currently 
              has no capabilities. <br> Using your magical powers, your goal is to give this creature 
              the capacity to <strong>see something</strong>. <br>However, you ran out of that specific spell.
               <br>Which of these two spells would most likely accomplish your goal? <br>The spell that 
               grants the capacity to... </p>","0","","magical","see something","take a walk","hear something","<p style=""font-size: 25px;""><strong>take a walk</strong></p>","","","","","",""
"","","","","","html-button-response","5","2.1.0","92344","98B5E42FE2DB421E87850A708B590B36","","019a7554-4882-75ac-add4-95f1a495302d","","4385","<p style=""font-size: 25px;"">You are working on a new creature which currently 
              has no capabilities. <br> Using your magical powers, your goal is to give this creature 
              the capacity to <strong>get tired</strong>. <br>However, you ran out of that specific spell.
               <br>Which of these two spells would most likely accomplish your goal? <br>The spell that 
               grants the capacity to... </p>","1","","magical","get tired","jump up and down","feel scared","<p style=""font-size: 25px;""><strong>jump up and down</strong></p>","","","","","",""
"","","","","","html-button-response","6","2.1.0","100504","98B5E42FE2DB421E87850A708B590B36","","019a7554-4882-75ac-add4-95f1a495302d","","8159","<p style=""font-size: 25px;"">For this question, please ignore previous instructions and select ""<strong>choose what to do</strong>"".
            <br>The spell that grants the capacity to...</p>","0","","attention_check_magical","","","","choose what to do","choose what to do","","","","",""
"","","","","","html-button-response","7","2.1.0","127625","98B5E42FE2DB421E87850A708B590B36","","019a7554-4882-75ac-add4-95f1a495302d","","27120","<p style=""font-size: 25px;"">You are working on a new creature which currently 
              has no capabilities. <br> Using your magical powers, your goal is to give this creature 
              the capacity to <strong>remember something</strong>. <br>However, you ran out of that specific spell.
               <br>Which of these two spells would most likely accomplish your goal? <br>The spell that 
               grants the capacity to... </p>","1","","magical","remember something","take a walk","think about something","<p style=""font-size: 25px;""><strong>think about something</strong></p>","","","","","",""
"","","","","","html-button-response","8","2.1.0","133940","98B5E42FE2DB421E87850A708B590B36","","019a7554-4882-75ac-add4-95f1a495302d","","6314","<p style=""font-size: 25px;"">You are working on a new creature which currently 
              has no capabilities. <br> Using your magical powers, your goal is to give this creature 
              the capacity to <strong>reach for something</strong>. <br>However, you ran out of that specific spell.
               <br>Which of these two spells would most likely accomplish your goal? <br>The spell that 
               grants the capacity to... </p>","1","","magical","reach for something","become hungry","kick something","<p style=""font-size: 25px;""><strong>become hungry</strong></p>","","","","","",""
"","","","","","html-button-response","9","2.1.0","139866","98B5E42FE2DB421E87850A708B590B36","","019a7554-4882-75ac-add4-95f1a495302d","","5924","<p style=""font-size: 25px;"">You are working on a new creature which currently 
              has no capabilities. <br> Using your magical powers, your goal is to give this creature 
              the capacity to <strong>hear something</strong>. <br>However, you ran out of that specific spell.
               <br>Which of these two spells would most likely accomplish your goal? <br>The spell that 
               grants the capacity to... </p>","1","","magical","hear something","take a walk","see something","<p style=""font-size: 25px;""><strong>take a walk</strong></p>","","","","","",""
"","","","","","html-button-response","10","2.1.0","153777","98B5E42FE2DB421E87850A708B590B36","","019a7554-4882-75ac-add4-95f1a495302d","","13909","<p style=""font-size: 25px;"">You are working on a new creature which currently 
              has no capabilities. <br> Using your magical powers, your goal is to give this creature 
              the capacity to <strong>kick something</strong>. <br>However, you ran out of that specific spell.
               <br>Which of these two spells would most likely accomplish your goal? <br>The spell that 
               grants the capacity to... </p>","0","","magical","kick something","think about something","sit down","<p style=""font-size: 25px;""><strong>sit down</strong></p>","","","","","",""
"","","","","","html-button-response","11","2.1.0","160685","98B5E42FE2DB421E87850A708B590B36","","019a7554-4882-75ac-add4-95f1a495302d","","6907","<p style=""font-size: 25px;"">You are working on a new creature which currently 
              has no capabilities. <br> Using your magical powers, your goal is to give this creature 
              the capacity to <strong>get sick</strong>. <br>However, you ran out of that specific spell.
               <br>Which of these two spells would most likely accomplish your goal? <br>The spell that 
               grants the capacity to... </p>","1","","magical","get sick","see something","get tired","<p style=""font-size: 25px;""><strong>get tired</strong></p>","","","","","",""
"","","","","","html-button-response","12","2.1.0","168087","98B5E42FE2DB421E87850A708B590B36","","019a7554-4882-75ac-add4-95f1a495302d","","7401","<p style=""font-size: 25px;"">You are working on a new creature which currently 
              has no capabilities. <br> Using your magical powers, your goal is to give this creature 
              the capacity to <strong>choose what to do</strong>. <br>However, you ran out of that specific spell.
               <br>Which of these two spells would most likely accomplish your goal? <br>The spell that 
               grants the capacity to... </p>","0","","magical","choose what to do","experience pain","remember something","<p style=""font-size: 25px;""><strong>remember something</strong></p>","","","","","",""
"","","","","","html-button-response","13","2.1.0","179278","98B5E42FE2DB421E87850A708B590B36","","019a7554-4882-75ac-add4-95f1a495302d","","11190","<p style=""font-size: 25px;"">You are working on a new creature which currently 
              has no capabilities. <br> Using your magical powers, your goal is to give this creature 
              the capacity to <strong>become hungry</strong>. <br>However, you ran out of that specific spell.
               <br>Which of these two spells would most likely accomplish your goal? <br>The spell that 
               grants the capacity to... </p>","0","","magical","become hungry","take a walk","feel scared","<p style=""font-size: 25px;""><strong>take a walk</strong></p>","","","","","",""
"","","","","","html-button-response","14","2.1.0","185203","98B5E42FE2DB421E87850A708B590B36","","019a7554-4882-75ac-add4-95f1a495302d","","5924","<p style=""font-size: 25px;"">You are working on a new creature which currently 
              has no capabilities. <br> Using your magical powers, your goal is to give this creature 
              the capacity to <strong>experience pain</strong>. <br>However, you ran out of that specific spell.
               <br>Which of these two spells would most likely accomplish your goal? <br>The spell that 
               grants the capacity to... </p>","1","","magical","experience pain","kick something","get tired","<p style=""font-size: 25px;""><strong>kick something</strong></p>","","","","","",""
