"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","mturk_participant_id","mturk_assignment_id","mturk_project_id","trial_id","rt","stimulus","response","view_history","condition","itemB","causal_itemA","similar_itemA","selected_choice","correct_response_attn","feedback","age","ethnicity","gender","race"
"true","false","[]","[]","[]","preload","0","2.1.0","40","D0C51EDC14174EE2933F58475728E1E9","","019a7554-4882-75ac-add4-95f1a495302d","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","1","2.1.0","13534","D0C51EDC14174EE2933F58475728E1E9","","019a7554-4882-75ac-add4-95f1a495302d","consent","13491","<p><b>Consent Form</b></p> <div style=""text-align:left;background-color:lightblue; padding:2vw; max-width:80vw;""><p><b>Purpose:</b> This is a study demo; the purpose of the study is to understand how people think about the physical and social world.</p><p><b>Procedures:</b> In this study, you will watch videos, read sentences, or see pictures, and answer simple questions about them. This study should take approximately 4 minutes</p><p><b>Participation:</b> Participation in this study is voluntary. If you decide to join now, you can change your mind later. <p><b>Risks and benefits:</b> There are no risks associated with participating in this study. There are no direct benefits associated with participating in this study. </p><p><b>Use of data by study researchers:</b> The research team led by Shari Liu at JHU will have access to your answers. Researcher contact information:</b> This study is run by Dr. Shari Liu at JHU. If you have any questions or concerns about this study, or in the very unlikely event of a research-related injury, please contact sliu199@jhu.edu. <p> Do you consent to participate? </p>","0","","","","","","","","","","","",""
"","","","","","instructions","2","2.1.0","29166","D0C51EDC14174EE2933F58475728E1E9","","019a7554-4882-75ac-add4-95f1a495302d","","15631","","","[{""page_index"":0,""viewing_time"":15631}]","","","","","","","","","","",""
"","","","","","html-button-response","3","2.1.0","52746","D0C51EDC14174EE2933F58475728E1E9","","019a7554-4882-75ac-add4-95f1a495302d","","23579","<p style=""font-size: 25px;"">You are working on a new creature which currently 
              has no capabilities. <br> Using your magical powers, your goal is to give this creature 
              the capacity to <strong>jump up and down</strong>. <br>However, you ran out of that specific spell.
               <br>Which of these two spells would most likely accomplish your goal? <br>The spell that 
               grants the capacity to... </p>","1","","magical","jump up and down","see something","sit down","<p style=""font-size: 25px;""><strong>sit down</strong></p>","","","","","",""
"","","","","","html-button-response","4","2.1.0","61851","D0C51EDC14174EE2933F58475728E1E9","","019a7554-4882-75ac-add4-95f1a495302d","","9103","<p style=""font-size: 25px;"">You are working on a new creature which currently 
              has no capabilities. <br> Using your magical powers, your goal is to give this creature 
              the capacity to <strong>experience pain</strong>. <br>However, you ran out of that specific spell.
               <br>Which of these two spells would most likely accomplish your goal? <br>The spell that 
               grants the capacity to... </p>","1","","magical","experience pain","kick something","get tired","<p style=""font-size: 25px;""><strong>get tired</strong></p>","","","","","",""
"","","","","","html-button-response","5","2.1.0","70389","D0C51EDC14174EE2933F58475728E1E9","","019a7554-4882-75ac-add4-95f1a495302d","","8537","<p style=""font-size: 25px;"">You are working on a new creature which currently 
              has no capabilities. <br> Using your magical powers, your goal is to give this creature 
              the capacity to <strong>sit down</strong>. <br>However, you ran out of that specific spell.
               <br>Which of these two spells would most likely accomplish your goal? <br>The spell that 
               grants the capacity to... </p>","1","","magical","sit down","experience pain","jump up and down","<p style=""font-size: 25px;""><strong>jump up and down</strong></p>","","","","","",""
"","","","","","html-button-response","6","2.1.0","79103","D0C51EDC14174EE2933F58475728E1E9","","019a7554-4882-75ac-add4-95f1a495302d","","8713","<p style=""font-size: 25px;"">You are working on a new creature which currently 
              has no capabilities. <br> Using your magical powers, your goal is to give this creature 
              the capacity to <strong>choose what to do</strong>. <br>However, you ran out of that specific spell.
               <br>Which of these two spells would most likely accomplish your goal? <br>The spell that 
               grants the capacity to... </p>","0","","magical","choose what to do","experience pain","remember something","<p style=""font-size: 25px;""><strong>remember something</strong></p>","","","","","",""
"","","","","","html-button-response","7","2.1.0","86864","D0C51EDC14174EE2933F58475728E1E9","","019a7554-4882-75ac-add4-95f1a495302d","","7760","<p style=""font-size: 25px;"">You are working on a new creature which currently 
              has no capabilities. <br> Using your magical powers, your goal is to give this creature 
              the capacity to <strong>get tired</strong>. <br>However, you ran out of that specific spell.
               <br>Which of these two spells would most likely accomplish your goal? <br>The spell that 
               grants the capacity to... </p>","1","","magical","get tired","jump up and down","feel scared","<p style=""font-size: 25px;""><strong>feel scared</strong></p>","","","","","",""
"","","","","","html-button-response","8","2.1.0","91951","D0C51EDC14174EE2933F58475728E1E9","","019a7554-4882-75ac-add4-95f1a495302d","","5086","<p style=""font-size: 25px;"">You are working on a new creature which currently 
              has no capabilities. <br> Using your magical powers, your goal is to give this creature 
              the capacity to <strong>feel scared</strong>. <br>However, you ran out of that specific spell.
               <br>Which of these two spells would most likely accomplish your goal? <br>The spell that 
               grants the capacity to... </p>","0","","magical","feel scared","see something","get tired","<p style=""font-size: 25px;""><strong>get tired</strong></p>","","","","","",""
"","","","","","html-button-response","9","2.1.0","97693","D0C51EDC14174EE2933F58475728E1E9","","019a7554-4882-75ac-add4-95f1a495302d","","5741","<p style=""font-size: 25px;"">For this question, please ignore previous instructions and select ""<strong>choose what to do</strong>"".
            <br>The spell that grants the capacity to...</p>","0","","attention_check_magical","","","","choose what to do","choose what to do","","","","",""
"","","","","","html-button-response","10","2.1.0","104416","D0C51EDC14174EE2933F58475728E1E9","","019a7554-4882-75ac-add4-95f1a495302d","","6722","<p style=""font-size: 25px;"">You are working on a new creature which currently 
              has no capabilities. <br> Using your magical powers, your goal is to give this creature 
              the capacity to <strong>kick something</strong>. <br>However, you ran out of that specific spell.
               <br>Which of these two spells would most likely accomplish your goal? <br>The spell that 
               grants the capacity to... </p>","0","","magical","kick something","think about something","sit down","<p style=""font-size: 25px;""><strong>sit down</strong></p>","","","","","",""
"","","","","","html-button-response","11","2.1.0","110369","D0C51EDC14174EE2933F58475728E1E9","","019a7554-4882-75ac-add4-95f1a495302d","","5952","<p style=""font-size: 25px;"">You are working on a new creature which currently 
              has no capabilities. <br> Using your magical powers, your goal is to give this creature 
              the capacity to <strong>think about something</strong>. <br>However, you ran out of that specific spell.
               <br>Which of these two spells would most likely accomplish your goal? <br>The spell that 
               grants the capacity to... </p>","0","","magical","think about something","get sick","remember something","<p style=""font-size: 25px;""><strong>remember something</strong></p>","","","","","",""
